profile,min,median,depth,volcanoes,sediments,slope,aspect,class
1,-5850,-3825,-3680,112,132,25,50.572197,8
2,-7200,-3950,-3774,71,103,32,44.674458,8
3,-6650,-4650,-4601,0,96,51,215.07376,10
4,-7700,-3800,-4067,0,109,64,277.8064,10
5,-7650,-4450,-4733,3,127,52,178.41765,10
6,-6950,-3800,-3991,5,135,70,158.5747,10
7,-6450,-3800,-4019,0,142,55,347.45697,10
8,-6950,-3300,-3431,208,137,27,214.20346,8
9,-6650,-4300,-4365,0,64,26,325.03488,8
10,-7600,-3700,-3560,0,135,66,330.71426,10
11,-5900,-3900,-3837,188,136,42,24.96279,9
12,-7350,-4050,-4158,0,141,62,96.11022,10
13,-7400,-4600,-4365,111,140,46,2.465759,10
14,-8550,-4300,-4379,149,129,35,209.34422,9
15,-9150,-3850,-4114,55,131,37,260.24203,9
16,-9050,-3800,-4266,113,136,64,256.17136,10
17,-9050,-4175,-4359,40,125,40,130.63173,9
18,-6750,-3750,-3878,81,106,43,153.87738,9
19,-9100,-4025,-4710,110,98,36,119.52136,9
20,-9400,-4300,-4833,188,99,39,272.21967,9
21,-10600,-4775,-5331,82,100,43,77.56395,9
22,-9750,-4400,-4691,212,93,33,253.03384,8
23,-6050,-3950,-3999,306,88,32,292.6065,8
24,-6200,-4050,-3652,228,46,34,267.1612,8
25,-6350,-4750,-4744,31,53,32,325.21497,8
